institution,location,size,focus,research,age,QS2023 Academic Reputation,QS2023 Employer Reputation,QS2023 Faculty Student Ratio,QS2023 Citations per Faculty,QS2023 International Faculty Ratio,QS2023 International Student Ratio,QS2023 International Research Network,QS2023 Employment Outcomes,QS2022 Academic Reputation,QS2022 Employer Reputation,QS2022 Faculty Student Ratio,QS2022 Citations per Faculty,QS2022 International Faculty Ratio,QS2022 International Student Ratio,THE2020 Teaching,THE2020 International,THE2020 Research,THE2020 Citations,THE2020 Income,THE2020 Overall Score,Number of Students,Student Staff Ratio,International Student Proportion
Syracuse University,United States,12000-30000 Students,Comprehensive,Very High,100+ Years,13.6,15.9,14.6,17,5.4,41.4,48.9,51.9,14.1,17.5,16.1,22.3,1.9,45,35.1,48.7,29.6,78.1,35.3,47.4,20236,15.7,0.2
Temple University,United States,>30000 Students,Fully Comprehensive,Very High,100+ Years,12.6,9.1,24.7,19.4,4.4,6.1,81.2,22.8,13.7,9.5,24.2,21.5,1.6,7.3,39.3,37.7,23.5,79.3,34.4,46.3,35814,13,0.09
Universidad Adolfo Ibáñez,Chile,5000-12000 Students,Focused,Very High,25-49 Years,17,58.5,4,5.2,37.8,4.8,14.1,17.6,14.9,65.7,3.6,5.3,17.6,4.9,,,,,,,,,
Universidad Católica Andres Bello,Venezuela,5000-12000 Students,Focused,Medium,50-99 Years,24.2,49.7,3.3,1,1.5,2.5,,28.5,21.4,50.6,2.9,1,,1.6,,,,,,,,,
Universidad de la República (Udelar),Uruguay,>30000 Students,Fully Comprehensive,High,100+ Years,22.8,18.7,22.6,1.7,7,2.9,42.1,21.9,20.4,19.3,21.1,1.6,2.3,3,,,,,,,,,
Universidad de San Andrés - UdeSA,Argentina,<5000 Students,Specialist,High,25-49 Years,6,21.2,51,2,8.9,5,2.1,76.4,5.7,26.6,53.6,2,2.8,5.2,,,,,,,,,
Universidad del Rosario,Colombia,5000-12000 Students,Focused,Very High,100+ Years,13.6,52,19.2,2.9,12.3,1.6,22.2,37.8,12.6,50.5,21.5,2.7,4.1,1.6,,,,,,,,,
Universidade de Santiago de Compostela,Spain,12000-30000 Students,Comprehensive,Very High,100+ Years,22,7.3,13.2,19.5,2,5.7,82,17.8,21.8,7.9,14.3,21.2,1.1,6.1,,,,,,,,,
Universidade Federal do Rio Grande Do Sul ,Brazil,>30000 Students,Fully Comprehensive,Very High,100+ Years,28.5,3.9,10,11.7,2.5,1.8,73.8,10.5,27.8,5,8.7,12.5,1.2,1.8,,,,,,,,,
Universitas Padjadjaran,Indonesia,>30000 Students,Focused,Very High,50-99 Years,14.6,24.3,33.4,1.3,23,1.6,13.7,8.5,12.9,17.6,30.2,1.3,6.2,1.6,,,,,,,,,
Universitat Rovira i Virgili,Spain,12000-30000 Students,Fully Comprehensive,High,25-49 Years,6.3,2.1,17.2,43.1,7.9,23.6,82.4,5.3,6.5,2.5,21.6,41.7,2.5,25.2,,,,,,,,,
Université Côte d\'Azur,France,>30000 Students,Fully Comprehensive,High,1-9 Years,16,2.9,5,25.9,33.4,42.1,82.7,2.6,16.4,2.9,4.7,30.7,22.8,44.7,,,,,,,,,
Université de Lille,France,>30000 Students,Focused,Very High,1-9 Years,25,3.7,4.8,10.9,18.3,19.3,92.2,4.6,25.9,5.2,5,7.2,6.9,20.5,,,,,,,,,
                Université de Sherbrooke,Canada,12000-30000 Students,Fully Comprehensive,High,50-99 Years,6.1,11.2,21.6,21,57.4,9.4,44.4,10.5,5.9,15.4,23.3,19.4,44.4,9.9,29.6,58.5,14.5,51,38.1,33.9,15667,12.9,0.07
Université de Sousse,Tunisia,12000-30000 Students,Fully Comprehensive,High,10-24 Years,2.8,1,71.4,1.6,1.1,2.4,21.4,11.7,3.1,1,76.3,1.5,1.1,2.1,,,,,,,,,
University Duesseldorf,Germany,>30000 Students,Fully Comprehensive,High,50-99 Years,12.9,6.6,37.9,8.5,,17.1,66.8,12.9,12.9,7.6,34.4,8.5,,17.8,,,,,,,,,
University of Denver,United States,5000-12000 Students,Comprehensive,Very High,100+ Years,4.9,8.1,48.2,12.2,2.6,5.9,19.2,37.2,5.6,8.8,43.3,16.8,1.4,6.8,40.5,27.8,22.3,75.4,35.8,44.4,9535,13,0.09
University of Houston,United States,>30000 Students,Comprehensive,Very High,50-99 Years,14.4,15.8,4.4,35.2,6.3,9.1,77.2,29.9,14.9,16.5,4.8,40.4,2.3,10.8,33.6,42.5,25.9,58,36.8,39.4,44128,25.7,0.09
University of Hyderabad,India,5000-12000 Students,Fully Comprehensive,High,25-49 Years,11.4,3.1,17.8,38.7,2.1,2.2,29.7,9.7,11.4,3.9,19.3,46.1,1.2,2.3,,,,,,,,,
University of Siena,Italy,12000-30000 Students,Fully Comprehensive,High,100+ Years,11.9,2.8,8.3,42.2,2.1,17.7,57.5,4,11.7,3.2,10.4,55.6,1.4,21.8,37.9,43.1,21.6,67.6,37.5,42.3,12636,14.8,0.08
University of Windsor,Canada,12000-30000 Students,Comprehensive,Very High,100+ Years,2.8,6.3,1.7,57.7,,41,53.6,20.1,2.9,6.6,1.6,61.8,,43.1,33.7,79.9,26.6,33.5,36.8,35.1,13140,29,0.23
Academician Y.A. Buketov Karaganda University,Kazakhstan,12000-30000 Students,Focused,High,50-99 Years,11.5,15.1,29.1,1.2,13.8,4,2.1,22.7,9.6,11,30.8,1.3,2.8,6.3,,,,,,,,,
"Adam Mickiewicz University, Poznań",Poland,>30000 Students,Comprehensive,Very High,100+ Years,16.1,6.1,27.2,5.4,7.2,4.9,84.4,7,16.3,5.6,25,5.8,2.3,3.6,18.1,32.7,13.4,32.7,35.4,22.6,37634,14.2,0.02
AGH University of Science and Technology,Poland,12000-30000 Students,Comprehensive,Very High,100+ Years,8.8,11.8,33.9,7.4,2.3,2.5,64.7,5.4,9,11,30.7,8.6,1.2,2.4,17.7,20.7,13.5,23.6,38.3,18.9,28620,13,0.02
Ain Shams University ,Egypt,>30000 Students,Fully Comprehensive,High,50-99 Years,20.4,18.6,9.5,1.9,26.8,6.3,72.5,31.8,18.9,15,8.7,1.9,11.4,3.8,,,,,,,,,
Australian Catholic University,Australia,12000-30000 Students,Comprehensive,Very High,25-49 Years,7,11.4,5,15,74.1,49.5,43.2,4.3,7.5,12.2,5.1,15.9,63.1,51.6,20.6,74.3,27.5,73.4,39.4,43,23886,43.5,0.12
Bangladesh University of Engineering and Technology,Bangladesh,5000-12000 Students,Specialist,Very High,50-99 Years,14.1,25.2,21.7,9.5,,1.1,11.7,46.8,13.1,22.5,19.6,7.8,,1.1,,,,,,,,,
Beijing Foreign Studies University,China (Mainland),5000-12000 Students,Specialist,High,50-99 Years,5,2.1,29.5,1.4,22.4,30.3,3.6,9.2,5.9,2.5,31.6,1.4,9.6,31.9,,,,,,,,,
Beijing Jiaotong University,China (Mainland),12000-30000 Students,Comprehensive,Very High,10-24 Years,10,4.2,17.5,26,5.7,11.8,47.4,11.6,10.6,4.9,18.9,25.5,1.9,12.5,23.4,28,23.5,20.3,65.2,23.9,26457,14,0.08
Beijing University of Chinese Medicine,China (Mainland),5000-12000 Students,Fully Comprehensive,Very High,10-24 Years,4.4,1.4,38,6.8,,10.1,10.7,2.8,4,1.7,40.4,5.8,,10.4,,,,,,,,,
Beijing University of Posts and Telecommunications,China (Mainland),12000-30000 Students,Comprehensive,Very High,25-49 Years,2.9,2,10.9,42.6,5.6,1.9,24.2,13.6,3.3,2.1,12,33.3,1.9,2,,,,,,,,,
Beirut Arab University ,Lebanon,5000-12000 Students,Fully Comprehensive,Medium,50-99 Years,9.8,15.9,14.3,2.3,70.1,43.5,17,42.6,7.4,17.2,12.1,2.1,61,39,,,,,,,,,
Bournemouth University,United Kingdom,12000-30000 Students,Comprehensive,High,25-49 Years,5.2,11.1,5.9,21.1,77.8,52.7,65.2,11.4,5.3,11.5,6.4,24,69.7,52,33.2,79.8,18.7,55.5,34.8,39.1,13692,17.1,0.18
Budapest University of Technology and Economics,Hungary,12000-30000 Students,Focused,Very High,100+ Years,14.6,19.8,17,8.8,2.5,19.4,78.7,29.4,13.6,24,17.1,10.2,1.2,17.6,17.4,34.7,15.8,25.3,44,21.3,18219,16.9,0.07
                   Ca' Foscari University of Venice ,Italy,12000-30000 Students,Focused,Very High,100+ Years,17.8,17.1,4.7,14.5,32.6,7.9,47,8.4,18,18.1,4.3,12.9,17.2,10,,,,,,,,,
Catania University,Italy,12000-30000 Students,Fully Comprehensive,Very High,100+ Years,11.4,3.2,4.6,33.3,1.7,1.5,61.4,4.8,11.8,3.6,5.2,31.9,1.3,1.5,,,,,,,,,
Chang Jung Christian University,Taiwan,5000-12000 Students,Comprehensive,High,25-49 Years,4.6,2.5,41.8,1.7,6.6,5.3,3.3,7.5,3.9,2.7,39.1,1.9,2.3,5.3,,,,,,,,,
Charles Sturt University ,Australia,5000-12000 Students,Comprehensive,Very High,25-49 Years,4.1,7.5,6.4,9.6,30.1,93.1,64.5,8.1,4.3,8.5,4.3,11.3,10.2,96.3,,,,,,,,,
Clarkson University,United States,<5000 Students,Comprehensive,Very High,100+ Years,1,3.2,15.9,39.2,49.6,9.2,42.9,19,1,3.7,18.2,44.7,23.2,12.8,,,,,,,,,
Clemson University,United States,12000-30000 Students,Comprehensive,Very High,100+ Years,8.1,16.4,12.5,21,2.1,5.1,71.3,12,8.6,19.3,12.8,26.5,1.3,6.9,25,39.2,21.2,43,40.1,30.7,21436,17,0.07
College of William and Mary,United States,5000-12000 Students,Comprehensive,Very High,100+ Years,8,12.4,30,19,6.5,7.6,34,65.9,9,13.5,37,21.6,3.3,11.7,,,,,,,,,
Cracow University of Technology (Politechnika Krakowska),Poland,12000-30000 Students,Focused,Very High,50-99 Years,11.3,25.2,21.4,4.1,2.3,2.2,36.1,6.3,10.5,18.3,23.9,4.2,1.2,2.4,,,,,,,,,
Czech University of Life Sciences in Prague,Czech Republic,12000-30000 Students,Focused,Very High,100+ Years,10.1,6.2,8.8,9.3,28.1,52.4,85.1,10,9.8,6.9,10.4,8.7,13.1,55.5,,,,,,,,,
De La Salle University,Philippines,12000-30000 Students,Comprehensive,High,50-99 Years,19.1,34.3,11.5,4.1,2.2,3,13.2,76.3,18.5,29.3,12.5,3.7,1.2,3.1,17.1,30.7,12.9,26.4,34.4,20.1,15604,17.8,0.03
De Montfort University,United Kingdom,12000-30000 Students,Comprehensive,High,100+ Years,4.7,5.2,5.9,6.8,73.4,95.1,63.4,3.6,5.1,5.5,5.6,7.9,58.2,95.3,16.9,75.6,13.8,50.4,34.6,30.9,19093,19.5,0.27
Diponegoro University,Indonesia,>30000 Students,Fully Comprehensive,High,50-99 Years,15,24.2,13.1,1.4,21.1,2.6,13.9,14.2,14.2,17.5,10.6,1.4,10.8,2.2,,,,,,,,,
Edinburgh Napier University,United Kingdom,12000-30000 Students,Comprehensive,High,25-49 Years,4.4,4,5,9.4,62.7,88.6,42.1,9.5,4.7,4.6,6.2,8.2,44.7,89,16.7,80,13.9,40.4,35.6,28.2,10668,18.8,0.33
Gdańsk University of Technology,Poland,5000-12000 Students,Focused,Very High,100+ Years,8.5,13.1,37.3,11.1,3.3,5.3,61.8,6.6,7.9,11,34.9,10.3,1.2,4.2,17.1,23.3,12.1,37,38.3,22.6,16834,14.8,0.04
Georgia State University,United States,>30000 Students,Comprehensive,Very High,50-99 Years,12.7,19.7,4.8,26.1,8.5,6.3,51.7,16.6,13.1,20.9,5.1,35.2,1.8,6.6,33.9,41.9,27.2,62.9,35.4,41.2,29290,14.4,0.06
German Jordanian University,Jordan,<5000 Students,Focused,Very High,10-24 Years,5.8,9.3,24.6,3.8,56.1,17.6,31.9,54.6,5.7,8.4,21.6,3.4,42.6,20.2,,,,,,,,,
Gulf University for Science and Technology,Kuwait,<5000 Students,Focused,High,10-24 Years,7.7,7.1,8.4,4.1,100,24.9,6.1,100,5.7,6.3,7.2,3.8,100,26.3,,,,,,,,,
Hacettepe University ,Turkey,>30000 Students,Fully Comprehensive,High,50-99 Years,18,18.8,8.6,5.4,3.1,2.7,72.8,15.2,15.6,13.5,8.1,6.8,1.3,2.8,,,,,,,,,
Harbin Engineering University,China (Mainland),12000-30000 Students,Focused,Very High,50-99 Years,2.9,1.4,19.1,33.7,3.4,2.8,30,6.6,3.4,1.7,26.4,29.7,1.8,2.9,,,,,,,,,
Indian Institute of Technology Bhubaneswar,India,<5000 Students,Focused,Very High,10-24 Years,3.5,3.8,16.1,48.6,1.7,1,11.6,23.3,3,3.3,20.6,54.4,1.2,1,27,17.1,11.3,52.9,35.8,29.5,1237,10.7,0
Indiana University–Purdue University Indianapolis,United States,12000-30000 Students,Fully Comprehensive,High,50-99 Years,8.3,7.1,20,17.7,30.7,5.4,42.8,3.8,8.3,7.7,26.3,16.8,14.4,5.1,,,,,,,,,
International Christian University,Japan,<5000 Students,Comprehensive,Medium,50-99 Years,4.3,12,16.6,1.7,76.4,14.8,7,33.5,4.1,11.4,16.2,2,71.8,15,,,,,,,,,
         Islamic University of Madinah,Saudi Arabia,12000-30000 Students,Focused,Medium,50-99 Years,3.5,3.5,9.5,1.3,80.7,100,8.4,4.6,3.6,3.6,8.6,1.3,97.8,100,,,,,,,,,
Istanbul University,Turkey,>30000 Students,Fully Comprehensive,High,100+ Years,24.6,15.2,3.1,5.4,9.2,17.6,68.3,29.5,22.8,13.5,1.9,6.4,2.6,10.3,25.8,27.1,24.4,23.6,49.8,25.4,122002,59.7,0.06
"ITESO, Universidad Jesuita de Guadalajara",Mexico,5000-12000 Students,Comprehensive,Medium,50-99 Years,5.7,7.7,44.1,1,2.8,1.6,2.1,8.5,5.6,8.1,,1.1,1.5,1.4,,,,,,,,,
Jamia Millia Islamia,India,5000-12000 Students,Comprehensive,Very High,100+ Years,6.3,3,40.2,15.4,3.9,2.4,38.7,7.3,6.2,3.5,48.7,12.2,1.4,3.3,29.4,24.9,8.7,47.6,35.2,28.5,10653,9.7,0.03
Jordan University of Science & Technology,Jordan,12000-30000 Students,Comprehensive,High,25-49 Years,16.6,24.7,15,4.4,8.1,20,54.1,17.6,15.9,21.5,20.3,3.4,5.5,24,,,,,,,,,
Kansas State University ,United States,12000-30000 Students,Comprehensive,Very High,100+ Years,9.8,10.5,13,22.6,51.5,7.5,73,17.9,10.3,12,16.5,20.2,28.9,10.3,,,,,,,,,
Kasetsart University,Thailand,>30000 Students,Comprehensive,Very High,50-99 Years,23.2,25.8,6.9,2.6,6.3,1.3,44.4,18,23.6,26.8,6.6,2.5,2.6,1.6,18.6,37.1,12.8,10.3,59.8,16.8,68067,22.2,0.01
Kaunas University of Technology,Lithuania,5000-12000 Students,Focused,Very High,100+ Years,11.1,20.3,31.2,5.9,3.3,12.7,62.2,20.2,11.3,16.3,32.8,5.4,1.4,11.2,16.5,30.4,11.4,5.6,38.9,13.3,9956,14.7,0.06
Kazakh-British Technical University,Kazakhstan,<5000 Students,Focused,High,10-24 Years,11.9,22.4,25.1,1.4,11.5,2.7,7.7,28.8,10.3,16.2,30.9,1.3,8.3,2.7,,,,,,,,,
Khon Kaen University,Thailand,>30000 Students,Fully Comprehensive,High,50-99 Years,15.7,17.4,9.1,4,8.4,2.6,39.6,3.7,15.6,17.7,8.6,4.3,2.9,3.8,21.6,31.1,12,18,55.2,19.2,38655,19.7,0.02
King Faisal University,Saudi Arabia,12000-30000 Students,Focused,Very High,25-49 Years,13.2,4.8,10.8,2.2,99.1,2.2,35.4,3.9,12.5,5.4,10,2,99.7,2.3,,,,,,,,,
King Mongkut's University of Technology Thonburi ,Thailand,12000-30000 Students,Comprehensive,High,25-49 Years,13,10,14.2,7.2,8.6,2.7,26.1,4.4,13.1,13,15,6.9,2.8,2.5,,,,,,,,,
Liverpool John Moores University,United Kingdom,12000-30000 Students,Comprehensive,Very High,25-49 Years,9.4,5.1,9.4,15.1,48.4,32.2,80.4,3.2,10.2,7,11.2,16.9,34.7,33.8,17.7,71.8,17.5,78.2,34.9,40.3,19461,17.4,0.14
Lodz University of Technology,Poland,5000-12000 Students,Comprehensive,Very High,50-99 Years,5.1,4.1,39.6,8,3.4,4.1,59,6.5,5.4,4.1,37.9,8.2,1.3,4,16.3,23,11.1,18,37.8,16.3,16372,13,0.04
London Metropolitan University,United Kingdom,5000-12000 Students,Comprehensive,High,10-24 Years,5.3,3.3,5.7,4,58.1,99.9,14,13.6,5.9,4.8,7.3,4.9,44.5,99.5,,,,,,,,,
London South Bank University,United Kingdom,12000-30000 Students,Comprehensive,High,25-49 Years,3,3.1,10,5.7,68.3,95.9,19,8.6,3.3,3.2,12.7,6.7,66.9,93.9,15.4,75.3,10.4,18.1,34.8,19.7,12168,16.5,0.33
Louisiana State University,United States,>30000 Students,Comprehensive,Very High,100+ Years,10.2,11,6.8,20.6,11.1,4.7,66.9,18.3,9.9,12.6,6.2,32,4,4.6,34.5,35.5,26.3,55.3,35.4,38.4,29169,20.7,0.06
Loyola University Chicago,United States,12000-30000 Students,Fully Comprehensive,High,100+ Years,8,19.1,22.6,9.8,5.8,4,29.5,21,8.2,19.1,23.8,10.9,1.6,4.9,,,,,,,,,
Lviv Polytechnic National University,Ukraine,12000-30000 Students,Comprehensive,High,100+ Years,8,11.5,47.7,1.7,1.7,1.8,15.8,13.2,7.1,11.3,47.4,1.7,1,1.7,17.9,24.4,8.7,49.5,34.7,25.5,21560,10.5,0.01
Manchester Metropolitan University (MMU),United Kingdom,>30000 Students,Comprehensive,Very High,50-99 Years,10.7,12.4,9.9,9.1,42.1,43,73.3,18.2,11.2,14,12.6,8.2,27.2,44.6,,,,,,,,,
Maynooth University,Ireland,5000-12000 Students,Focused,Very High,25-49 Years,9.8,10.6,9,10.8,87.7,17.6,37.7,8.5,10.1,9.7,11.2,14.6,82.8,21.4,20.3,78.2,29.8,80.3,37.3,45.9,9291,28.3,0.12
Mendel University in Brno,Czech Republic,5000-12000 Students,Focused,Very High,100+ Years,6.4,6.5,42.2,3.6,9.4,39.5,46,10.7,6.9,7.1,34.8,6.1,5.6,47.9,18.4,39.2,14.7,7.3,36,16,7215,14.4,0.16
Nanjing University of Aeronautics and Astronautics,China (Mainland),>30000 Students,Focused,Very High,25-49 Years,3.1,2.7,14.3,39.7,6.3,3.6,47.5,2.4,3.8,3,15.6,38.7,2.1,3.7,20.8,18.4,21.1,19.8,65.5,21.5,29542,16.6,0.03
National Chung Cheng University,Taiwan,5000-12000 Students,Comprehensive,Very High,25-49 Years,12.5,19.6,21.5,5.7,3.6,5,12.3,6.3,12.5,13.7,21,7,1.6,9.8,19.1,21.2,18.3,13.7,41.3,18,10161,14.9,0.05
Nicolaus Copernicus University ,Poland,12000-30000 Students,Fully Comprehensive,High,50-99 Years,7.3,3,45.1,4.5,3.6,3.9,71.5,5.2,7.4,2.9,43.4,4.5,1.4,3.5,,,,,,,,,
NJSC KIMEP University,Kazakhstan,<5000 Students,Specialist,Medium,25-49 Years,6.2,12.9,22.8,3,80.6,16.8,1.8,79,6.6,9.8,29,2.2,79,19.4,,,,,,,,,
Northwest University (China),China (Mainland),12000-30000 Students,Comprehensive,Very High,100+ Years,3.1,1.3,53.8,12.9,4.2,3.1,24.5,4,3.6,1.3,52.6,14,1.6,3.4,,,,,,,,,
Notre Dame University-Louaize NDU,Lebanon,<5000 Students,Comprehensive,High,25-49 Years,4.5,12.3,31.8,3.6,77,24.1,8.2,11.7,5.3,16.2,29.7,3.2,86.7,32.4,,,,,,,,,
Nottingham Trent University,United Kingdom,>30000 Students,Comprehensive,High,25-49 Years,9.7,20.2,9.7,6.5,58.2,50.6,76.8,10.3,9.9,20.4,9.7,7.2,49.2,56.6,17.7,69,12.9,59.5,34.9,33.1,24140,15,0.19
Novosibirsk State Technical University,Russia,5000-12000 Students,Focused,Very High,50-99 Years,6.7,7,31.5,1.9,3.1,43.6,11.3,4.2,6.9,7.6,28.3,2,1.3,51.2,20.5,34.6,12.6,14.9,38.2,17.9,11640,11.4,0.2
Oklahoma State University ,United States,12000-30000 Students,Fully Comprehensive,High,100+ Years,9.3,10.3,11.7,16.1,55.8,7.2,60,17.4,9.9,10.9,14.8,16.4,40.6,9.5,,,,,,,,,
Perm State National Research University,Russia,5000-12000 Students,Focused,Very High,100+ Years,4.5,1.6,41.7,1.5,2,6.6,4.9,9.4,4.7,1.6,48.8,1.5,1.1,5.5,,,,,,,,,
Pondicherry University,India,5000-12000 Students,Comprehensive,Very High,25-49 Years,3,2.1,5.7,42.9,2.9,1.3,17.2,8.4,3.2,1.9,7.1,46.1,1.3,1.4,36.5,14.5,19.2,18.3,34.5,24.2,6107,17.2,0.01
Pontificia Universidad Católica del Ecuador (PUCE),Ecuador,12000-30000 Students,Fully Comprehensive,Medium,50-99 Years,14.9,16.3,10,1.3,21.7,1.7,20.2,11.2,13,14.2,12.6,1.3,7.4,1.5,,,,,,,,,
Pontifícia Universidade Católica de São Paulo,Brazil,5000-12000 Students,Fully Comprehensive,Medium,50-99 Years,11.4,14.5,31.2,1.2,5.3,1.3,,30.8,11.8,17.3,28.1,1.2,1.8,1.4,,,,,,,,,
Poznań University of Technology,Poland,12000-30000 Students,Focused,Very High,100+ Years,6.8,7,30.5,6.4,2.3,3.4,54.5,5.1,6.6,6.3,28.3,7.3,1.2,3.4,,,,,,,,,
Prince of Songkla University,Thailand,>30000 Students,Fully Comprehensive,High,50-99 Years,18.2,12.1,17.3,3.1,4.8,2.1,47.9,6.6,18.2,13.2,16.2,3.1,1.6,2.3,18.1,32.6,10.1,17.6,35.4,17.1,39257,15.8,0.02
        Princess Sumaya University for Technology,Jordan,<5000 Students,Focused,Very High,25-49 Years,6.2,12.3,12.3,4.5,55,37.8,8,89.3,4.9,10.2,15.6,6.7,57.2,40.1,,,,,,,,,
Qassim University,Saudi Arabia,>30000 Students,Fully Comprehensive,Medium,10-24 Years,4.7,1.9,27.7,1.4,98.2,8.7,33.1,3.8,5.1,1.9,24.5,1.4,99,6.6,,,,,,,,,
"Queen Margaret University , Edinburgh",United Kingdom,<5000 Students,Focused,Very High,10-24 Years,3.7,3.7,5.2,15,57.2,82.8,6.7,3.2,4.6,4.1,6.2,15.8,38.5,86.8,,,,,,,,,
Rhodes University ,South Africa,5000-12000 Students,Comprehensive,Very High,100+ Years,6.7,9.8,16.3,21.5,,38.2,37.1,50,6.7,7.8,14.9,25.1,,40.6,,,,,,,,,
Riga Stradins University,Latvia,5000-12000 Students,Focused,High,50-99 Years,6.7,10.2,18.4,2.2,15.2,86.5,13.9,25.7,6.4,9.5,18.6,2,5.2,86.1,,,,,,,,,
     Robert Gordon University,United Kingdom,5000-12000 Students,Comprehensive,High,25-49 Years,3.1,11.9,5.2,5.1,61.8,69.8,22.4,6.3,3.8,12.3,6.4,5.8,46,60.3,16.8,75,11.3,23.3,35.2,21.9,9489,20.4,0.22
Russian Presidential Academy of National Economy and Public Administration,Russia,>30000 Students,Specialist,Very High,25-49 Years,4.6,6.4,50.3,1.2,2.3,3.3,14.9,9.3,4.6,5.6,51.2,1.2,1.2,3.2,,,,,,,,,
Rutgers University–Newark,United States,5000-12000 Students,Comprehensive,Very High,50-99 Years,11,7.2,14.4,15.4,28.6,36.1,27.2,56.8,12.1,7.8,15.7,11.7,13.8,19.1,,,,,,,,,
Saint-Petersburg Mining University,Russia,5000-12000 Students,Focused,Very High,100+ Years,2.8,3.4,46.5,2,15.2,19.7,11.2,4.9,3.4,3.6,32.9,2.2,2.8,16.6,20.2,28.1,10.3,48.9,71.1,27.7,7298,11.1,0.11
Shinshu University ,Japan,5000-12000 Students,Fully Comprehensive,Very High,50-99 Years,2.8,2.6,35,12.5,6.5,3.1,37.6,4.1,3.4,2.8,37.9,17.7,2.2,3.5,,,,,,,,,
Slovak University of Technology in Bratislava,Slovakia,12000-30000 Students,Focused,Very High,50-99 Years,9,6.3,37.2,3.9,2.3,3,50.6,22,9.1,7.7,39.6,4.9,1.2,3.1,22.5,27.8,12.4,9.8,37.1,16.4,13108,13.3,0.03
Sophia University ,Japan,12000-30000 Students,Comprehensive,High,50-99 Years,10.8,20.2,20,2.4,36.8,14.3,13.7,11.4,11.1,18.4,18.8,2.6,20.7,23.7,,,,,,,,,
South Ural State University (National Research University),Russia,12000-30000 Students,Comprehensive,Very High,50-99 Years,7.6,4.4,42.1,2.3,10.8,18.1,64.9,4.8,7.8,4.4,44.7,1.9,3.5,19.1,,,,,,,,,
Southern Methodist University,United States,5000-12000 Students,Comprehensive,Very High,100+ Years,4.7,5.4,32.8,9.8,11.4,12,37.3,53,5.6,5.8,37.6,10.2,3.9,20.9,,,,,,,,,
Sumy State University,Ukraine,5000-12000 Students,Fully Comprehensive,High,25-49 Years,4.7,3.8,45,2.1,3.2,64.6,17.9,15.4,4.7,4.1,53.1,2,1.2,54.6,19.8,39.8,10,13.3,37.8,16.9,9293,10.4,0.13
Széchenyi István University,Hungary,5000-12000 Students,Fully Comprehensive,Medium,10-24 Years,6.8,17.9,29.2,1.5,1.7,6.7,6,20.7,5.9,21.6,37.2,1.5,1.1,6.6,,,,,,,,,
Szent Istvan University,Hungary,5000-12000 Students,Focused,Very High,100+ Years,5.2,4,42.8,2.6,1.7,32.2,52,18.1,5.2,4.8,39,2.5,1.1,33.9,,,,,,,,,
Technical University of Kosice,Slovakia,5000-12000 Students,Focused,Very High,50-99 Years,6.3,1.3,28.9,4.8,1.8,50.3,39,23.1,6.6,1.5,27.4,4.8,1.1,43.1,,,,,,,,,
Technical University of Liberec,Czech Republic,5000-12000 Students,Specialist,Very High,50-99 Years,4,2.8,48.3,4.2,17.8,11.3,25.8,14,4.4,2.8,46.1,4.6,5.5,10.1,19.8,38.8,11.9,5.9,40.5,15.2,5321,9.5,0.12
Technological University Dublin,Ireland,12000-30000 Students,Comprehensive,High,1-9 Years,11.4,14.6,12,3.4,33.3,45.8,27.6,13.8,10.9,14.8,13.8,3.9,14.5,47.9,15.7,73,13.3,32.9,35.1,24.9,14904,20,0.2
Tecnológico de Costa Rica -TEC,Costa Rica,5000-12000 Students,Comprehensive,High,50-99 Years,7.9,36.7,21.5,1.4,7.9,2.4,7.3,83.7,8.3,37.5,23.2,1.3,2.2,1.8,,,,,,,,,
Tokyo University of Science,Japan,12000-30000 Students,Focused,Very High,50-99 Years,10.8,46.2,11.2,14.5,12.5,3.8,27.7,60.8,11.5,36.6,11.2,18.1,3.4,3.2,21.9,21.3,24.3,19.1,41.9,22.2,18490,24.4,0.02
TU Dortmund University,Germany,12000-30000 Students,Comprehensive,Very High,50-99 Years,13.6,8.4,18.2,8,22.5,23,68.3,5.1,13.3,11.6,14.9,9.9,9.5,15.4,37.6,42.2,41.4,54.2,45.8,44.3,34267,108.8,0.1
Ufa State Aviation Technical University ,Russia,5000-12000 Students,Focused,Very High,25-49 Years,3.2,2,63.9,1.5,1.2,2.5,5.3,4.1,3.2,1.9,76.6,1.4,1,2,,,,,,,,,
Universidad Autónoma del Estado de Hidalgo (UAEH),Mexico,12000-30000 Students,Fully Comprehensive,Medium,100+ Years,3.8,7.7,52,1.4,2.5,1.8,9.6,5.2,4.2,7,53.8,1.4,1.4,1.8,,,,,,,,,
Universidad Autónoma del Estado de México (UAEMex),Mexico,>30000 Students,Fully Comprehensive,Medium,100+ Years,21.7,11.2,5.2,1.5,2,1.1,20.1,4.1,21.4,10.7,6.4,1.4,1.1,1.2,,,,,,,,,
Universidad Autónoma Metropolitana (UAM),Mexico,>30000 Students,Fully Comprehensive,High,25-49 Years,23,17.8,5.1,2.7,9.2,1.3,31.8,4.5,23.6,19.3,6.2,2.8,2.9,1.3,,,,,,,,,
Universidad de Guadalajara (UDG),Mexico,>30000 Students,Fully Comprehensive,High,100+ Years,20.3,11.9,23.3,1.3,2.7,1.1,43.9,4.2,19.1,13.1,26.8,1.2,1.3,1.2,,,,,,,,,
